Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Storage years]	Term Source REF	Term Accession Number
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_5_years_3	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_7_years_1	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_7_years_2	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_7_years_3	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_9_years_1	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_9_years_2	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_9_years_3	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_11_years_1	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_11_years_2	year	UO	http://purl.obolibrary.org/obo/UO_0000036
White tea	Camellia sinensis	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442	Camellia sinensis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4442				Sample collection	NEG_11_years_3	year	UO	http://purl.obolibrary.org/obo/UO_0000036
